problem;set;formula;selected;occurrences
Cc4p;set3;(T1+P1)-(T1+d);FALSE;0
Cc4p;set3;((T1-P1)+d)-d;FALSE;0
Cc4p;set3;(T1+d)-(P1+d);FALSE;0
Cc4p;set3;P1+(T1-(T1-d));FALSE;0
Cc4p;set3;(T1+P1)+(P1+d);FALSE;0
Cc4p;set3;(P1+(T1-P1))-d;FALSE;0
Cc4p;set3;(T1-(P1-d))+d;FALSE;0
Cc4p;set3;(P1-d)-(T1-P1);FALSE;0
Cc4p;set3;P1-(T1-(P1-d));FALSE;0
Cc4p;set3;P1-((T1-d)-P1);FALSE;0
Cc4p;set3;((T1-d)+P1)-P1;FALSE;0
Cc4p;set3;((T1-d)-P1)-d;FALSE;0
Cc4p;set3;((P1+d)+P1)+T1;FALSE;0
Cc4p;set3;(T1+(P1-d))-T1;FALSE;0
Cc4p;set3;T1+(P1-(P1-d));FALSE;0
Cc4p;set3;(T1-d)-(P1-d);FALSE;0
Cc4p;set3;T1+((P1-d)-d);FALSE;0
Cc4p;set3;T1-((P1+d)+d);FALSE;0
Cc4p;set3;((T1+d)+T1)-P1;FALSE;0
Cc4p;set3;(T1+(P1+d))+P1;FALSE;0
Cc4p;set3;(T1+(P1+d))-T1;FALSE;0
Cc4p;set3;T1+(T1-(P1+d));FALSE;0
Cc4p;set3;P1+((T1-P1)-d);FALSE;1
Cc4p;set3;((T1+P1)+T1)+d;FALSE;0
Cc4p;set3;((T1+d)+d)+P1;FALSE;0
Cc4p;set3;P1-((T1-P1)+d);FALSE;0
Cc4p;set3;P1+(T1-(P1-d));FALSE;0
Cc4p;set3;(P1-(T1-P1))-d;FALSE;0
Cc4p;set3;P1-(T1-(P1+d));FALSE;0
Cc4p;set3;((T1+d)-d)+P1;FALSE;0
Cc4p;set3;((T1-d)+P1)-d;FALSE;0
Cc4p;set3;(T1+P1)-(P1+d);FALSE;0
Cc4p;set3;(P1+(T1-P1))+d;FALSE;0
Cc4p;set3;((T1+P1)+P1)-d;FALSE;0
Cc4p;set3;T1+((T1-P1)-d);FALSE;0
Cc4p;set3;(T1+(P1+d))+d;FALSE;0
Cc4p;set3;((T1-d)-d)-P1;FALSE;0
Cc4p;set3;((T1+P1)-P1)-d;FALSE;0
Cc4p;set3;(P1+(P1-d))+T1;FALSE;0
Cc4p;set3;T1-((T1-P1)+d);FALSE;0
Cc4p;set3;T1-(T1-(P1+d));FALSE;0
Cc4p;set3;((T1+P1)+d)+T1;FALSE;0
Cc4p;set3;((T1+P1)-d)+T1;FALSE;0
Cc4p;set3;(T1+(P1-d))+P1;FALSE;0
Cc4p;set3;(T1+(T1-d))-P1;FALSE;0
Cc4p;set3;((T1+d)+P1)-P1;FALSE;0
Cc4p;set3;T1-((P1-d)-d);FALSE;0
Cc4p;set3;P1-((T1+d)-T1);TRUE;0
Cc4p;set3;((T1-d)+P1)+T1;FALSE;0
Cc4p;set3;((T1+P1)-d)+P1;FALSE;0
Cc4p;set3;((T1+P1)+d)-T1;TRUE;0
Cc4p;set3;(T1-d)+(P1-d);FALSE;0
Cc4p;set3;T1-((T1-d)-P1);FALSE;0
Cc4p;set3;((T1-P1)+d)+d;FALSE;0
